plateId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
P79E07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79E08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79E09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79E10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79E11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79E12,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79F01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79F02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79F03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79F04,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79F05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79F06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79F07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79F08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79F09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79F10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79F11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79F12,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79G01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79G02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79G03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79G04,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79G05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79G06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79G07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79G08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79G09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79G10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79G11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79G12,124,124,124,124,153,153,258,258,280,280,293,293,388,388,431,431
P79H01,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79H02,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79H03,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79H05,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79H06,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
P79H07,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79H08,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79H09,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79H10,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P79H11,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
P80A01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80A02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80A03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80A04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80A05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80A06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80A07,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80A08,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80A09,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80A10,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80A11,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80A12,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
P80B01,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80B02,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80B03,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80B04,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80B05,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
P80B06,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
