plateId,plate,cell,species,vintage,winery,vineyard,fermRep,hour,timepoint,isolate,isolateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
P05D08,P05,D08,Sc,2013,OCP,G,16,645,L,20,2013_OCP_G16_645_20,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P05A11,P05,A11,Sc,2013,OCP,G,17,332,M,1,2013_OCP_G17_332_01,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P05E03,P05,E03,Sc,2013,OCP,G,16,332,M,1,2013_OCP_G16_332_01,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P05B11,P05,B11,Sc,2013,OCP,G,17,332,M,2,2013_OCP_G17_332_02,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05F03,P05,F03,Sc,2013,OCP,G,16,332,M,2,2013_OCP_G16_332_02,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P05C11,P05,C11,Sc,2013,OCP,G,17,332,M,3,2013_OCP_G17_332_03,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P05G03,P05,G03,Sc,2013,OCP,G,16,332,M,3,2013_OCP_G16_332_03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05D11,P05,D11,Sc,2013,OCP,G,17,332,M,4,2013_OCP_G17_332_04,124,124,120,120,149,149,279,279,254,254,277,277,380,380,420,420
P05E11,P05,E11,Sc,2013,OCP,G,17,332,M,5,2013_OCP_G17_332_05,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05F11,P05,F11,Sc,2013,OCP,G,17,332,M,6,2013_OCP_G17_332_06,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05B04,P05,B04,Sc,2013,OCP,G,16,332,M,6,2013_OCP_G16_332_06,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06H07,P06,H07,Sc,2013,OCP,G,18,332,M,6,2013_OCP_G18_332_06,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
P05G11,P05,G11,Sc,2013,OCP,G,17,332,M,7,2013_OCP_G17_332_07,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P05C04,P05,C04,Sc,2013,OCP,G,16,332,M,7,2013_OCP_G16_332_07,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06A08,P06,A08,Sc,2013,OCP,G,18,332,M,7,2013_OCP_G18_332_07,135,135,157,157,146,146,258,258,250,250,275,275,403,403,452,452
P05H11,P05,H11,Sc,2013,OCP,G,17,332,M,8,2013_OCP_G17_332_08,115,115,122,137,139,153,253,261,298,298,293,297,403,403,446,449
P05D04,P05,D04,Sc,2013,OCP,G,16,332,M,8,2013_OCP_G16_332_08,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06B08,P06,B08,Sc,2013,OCP,G,18,332,M,8,2013_OCP_G18_332_08,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
P05A12,P05,A12,Sc,2013,OCP,G,17,332,M,9,2013_OCP_G17_332_09,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P05E04,P05,E04,Sc,2013,OCP,G,16,332,M,9,2013_OCP_G16_332_09,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06C08,P06,C08,Sc,2013,OCP,G,18,332,M,9,2013_OCP_G18_332_09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05B12,P05,B12,Sc,2013,OCP,G,17,332,M,10,2013_OCP_G17_332_10,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05F04,P05,F04,Sc,2013,OCP,G,16,332,M,10,2013_OCP_G16_332_10,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06D08,P06,D08,Sc,2013,OCP,G,18,332,M,10,2013_OCP_G18_332_10,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
P06A01,P06,A01,Sc,2013,OCP,G,17,332,M,11,2013_OCP_G17_332_11,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06E08,P06,E08,Sc,2013,OCP,G,18,332,M,11,2013_OCP_G18_332_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06B01,P06,B01,Sc,2013,OCP,G,17,332,M,12,2013_OCP_G17_332_12,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06C01,P06,C01,Sc,2013,OCP,G,17,332,M,13,2013_OCP_G17_332_13,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06G08,P06,G08,Sc,2013,OCP,G,18,332,M,13,2013_OCP_G18_332_13,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
P06D01,P06,D01,Sc,2013,OCP,G,17,332,M,14,2013_OCP_G17_332_14,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P06H08,P06,H08,Sc,2013,OCP,G,18,332,M,14,2013_OCP_G18_332_14,121,135,157,157,146,149,256,258,244,250,275,295,403,403,423,452
P06E01,P06,E01,Sc,2013,OCP,G,17,332,M,15,2013_OCP_G17_332_15,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P05C05,P05,C05,Sc,2013,OCP,G,16,332,M,15,2013_OCP_G16_332_15,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06F01,P06,F01,Sc,2013,OCP,G,17,332,M,16,2013_OCP_G17_332_16,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P06G01,P06,G01,Sc,2013,OCP,G,17,332,M,17,2013_OCP_G17_332_17,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05E05,P05,E05,Sc,2013,OCP,G,16,332,M,17,2013_OCP_G16_332_17,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06H01,P06,H01,Sc,2013,OCP,G,17,332,M,18,2013_OCP_G17_332_18,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
P05F05,P05,F05,Sc,2013,OCP,G,16,332,M,18,2013_OCP_G16_332_18,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06A02,P06,A02,Sc,2013,OCP,G,17,332,M,19,2013_OCP_G17_332_19,121,121,151,151,146,146,261,261,301,301,293,293,380,380,420,420
P05G05,P05,G05,Sc,2013,OCP,G,16,332,M,19,2013_OCP_G16_332_19,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
P06B02,P06,B02,Sc,2013,OCP,G,17,332,M,20,2013_OCP_G17_332_20,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P06F09,P06,F09,Sc,2013,OCP,G,18,332,M,20,2013_OCP_G18_332_20,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
