8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_G17_332_06,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_332_06,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G18_332_06,Sc_2013_G_18_M,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
2013_OCP_G17_332_07,Sc_2013_G_17_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G16_332_07,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G18_332_07,Sc_2013_G_18_M,135,135,157,157,146,146,258,258,250,250,275,275,403,403,452,452
2013_OCP_G17_332_08,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,298,298,293,297,403,403,446,449
2013_OCP_G16_332_08,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G18_332_08,Sc_2013_G_18_M,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
2013_OCP_G17_332_09,Sc_2013_G_17_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_G16_332_09,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G18_332_09,Sc_2013_G_18_M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_G17_332_10,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G16_332_10,Sc_2013_G_16_M,124,124,170,170,133,133,279,279,254,254,277,277,400,400,420,420
2013_OCP_G18_332_10,Sc_2013_G_18_M,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
2013_OCP_G17_332_11,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G18_332_11,Sc_2013_G_18_M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_G17_332_12,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_G17_332_13,Sc_2013_G_17_M,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
