8,1545,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2016SB04_11,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_19,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_27,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_43,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_03,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_11,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_19,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_27,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_35,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_43,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB04_04,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_12,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_20,2016_OliverOsoyoos_SB_4_U_OK89,115,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_36,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_44,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_04,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_12,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_20,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_28,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_36,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_44,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB04_13,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_21,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_37,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_45,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_05,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_13,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_21,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_29,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_37,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_45,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
